"","task.id","learner.id","iter","acc","fpr","fnr"
"1","Breast_Cancer","SVM.Original.Features",1,0.857142857142857,0.130434782608696,0.166666666666667
"2","Breast_Cancer","SVM.Original.Features",2,0.735294117647059,0.227272727272727,0.333333333333333
"3","Breast_Cancer","SVM.Original.Features",3,0.757575757575758,0.181818181818182,0.363636363636364
"4","Breast_Cancer","SVM.Original.Features",4,0.696969696969697,0.227272727272727,0.454545454545455
"5","Breast_Cancer","SVM.Original.Features",5,0.666666666666667,0.136363636363636,0.727272727272727
"6","Breast_Cancer","SVM.Univariate.kruskal.test.Perc.0.05",1,0.914285714285714,0.0869565217391304,0.0833333333333333
"7","Breast_Cancer","SVM.Univariate.kruskal.test.Perc.0.05",2,0.794117647058823,0.227272727272727,0.166666666666667
"8","Breast_Cancer","SVM.Univariate.kruskal.test.Perc.0.05",3,0.757575757575758,0.136363636363636,0.454545454545455
"9","Breast_Cancer","SVM.Univariate.kruskal.test.Perc.0.05",4,0.757575757575758,0.227272727272727,0.272727272727273
"10","Breast_Cancer","SVM.Univariate.kruskal.test.Perc.0.05",5,0.757575757575758,0.0909090909090909,0.545454545454545
"11","Breast_Cancer","SVM.Multivariate.RFimportance.Perc.0.05",1,0.857142857142857,0.130434782608696,0.166666666666667
"12","Breast_Cancer","SVM.Multivariate.RFimportance.Perc.0.05",2,0.705882352941177,0.227272727272727,0.416666666666667
"13","Breast_Cancer","SVM.Multivariate.RFimportance.Perc.0.05",3,0.757575757575758,0.136363636363636,0.454545454545455
"14","Breast_Cancer","SVM.Multivariate.RFimportance.Perc.0.05",4,0.696969696969697,0.272727272727273,0.363636363636364
"15","Breast_Cancer","SVM.Multivariate.RFimportance.Perc.0.05",5,0.727272727272727,0.0909090909090909,0.636363636363636
"16","Breast_Cancer","SVM.Wrapper.GA",1,0.857142857142857,0.130434782608696,0.166666666666667
"17","Breast_Cancer","SVM.Wrapper.GA",2,0.705882352941177,0.227272727272727,0.416666666666667
"18","Breast_Cancer","SVM.Wrapper.GA",3,0.757575757575758,0.181818181818182,0.363636363636364
"19","Breast_Cancer","SVM.Wrapper.GA",4,0.696969696969697,0.227272727272727,0.454545454545455
"20","Breast_Cancer","SVM.Wrapper.GA",5,0.727272727272727,0.136363636363636,0.545454545454545
"21","Breast_Cancer","KNN.Original.Features",1,0.685714285714286,0,0.916666666666667
"22","Breast_Cancer","KNN.Original.Features",2,0.647058823529412,0,1
"23","Breast_Cancer","KNN.Original.Features",3,0.727272727272727,0,0.818181818181818
"24","Breast_Cancer","KNN.Original.Features",4,0.666666666666667,0,1
"25","Breast_Cancer","KNN.Original.Features",5,0.696969696969697,0,0.909090909090909
"26","Breast_Cancer","KNN.Univariate.kruskal.test.Perc.0.05",1,0.8,0.0434782608695652,0.5
"27","Breast_Cancer","KNN.Univariate.kruskal.test.Perc.0.05",2,0.705882352941177,0.136363636363636,0.583333333333333
"28","Breast_Cancer","KNN.Univariate.kruskal.test.Perc.0.05",3,0.757575757575758,0,0.727272727272727
"29","Breast_Cancer","KNN.Univariate.kruskal.test.Perc.0.05",4,0.757575757575758,0.0454545454545455,0.636363636363636
"30","Breast_Cancer","KNN.Univariate.kruskal.test.Perc.0.05",5,0.696969696969697,0.0454545454545455,0.818181818181818
"31","Breast_Cancer","KNN.Multivariate.RFimportance.Perc.0.05",1,0.771428571428571,0.0434782608695652,0.583333333333333
"32","Breast_Cancer","KNN.Multivariate.RFimportance.Perc.0.05",2,0.676470588235294,0.0909090909090909,0.75
"33","Breast_Cancer","KNN.Multivariate.RFimportance.Perc.0.05",3,0.696969696969697,0.0454545454545455,0.818181818181818
"34","Breast_Cancer","KNN.Multivariate.RFimportance.Perc.0.05",4,0.696969696969697,0.0454545454545455,0.818181818181818
"35","Breast_Cancer","KNN.Multivariate.RFimportance.Perc.0.05",5,0.666666666666667,0.0454545454545455,0.909090909090909
"36","Breast_Cancer","KNN.Wrapper.GA",1,0.657142857142857,0,1
"37","Breast_Cancer","KNN.Wrapper.GA",2,0.647058823529412,0,1
"38","Breast_Cancer","KNN.Wrapper.GA",3,0.727272727272727,0,0.818181818181818
"39","Breast_Cancer","KNN.Wrapper.GA",4,0.666666666666667,0,1
"40","Breast_Cancer","KNN.Wrapper.GA",5,0.696969696969697,0,0.909090909090909
